CHANNEL_TITLE,ID,Community
Jacob Wohl,,Alt-left
Kelly Day,,Alt-left
Leo Stratton,,Alt-left
Liberty Machine News,,Alt-left
Luke Ford,,Alt-left
Luke Ford Livestreams,,Alt-left
Make Cringe Great Again,,Alt-left
News2Share,,Alt-left
On The Offensive,,Alt-left
Oppressed Media,,Alt-left
Ben Shapiro,,I.D.W.
Bret Weinstein,,I.D.W.
Gad Saad,,I.D.W.
JRE Clips,,I.D.W.
Jordan B Peterson Clips,,I.D.W.
JordanPetersonVideos,,I.D.W.
Lindsay Shepherd,,I.D.W.
Matt Christiansen,,I.D.W.
Owen Benjamin,,I.D.W.
Owen Benjamin Clips,,I.D.W.
PowerfulJRE,,I.D.W.
Rebel Wisdom,,I.D.W.
Sam Harris,,I.D.W.
SargonofAkkad100,,I.D.W.
The Rubin Report,,I.D.W.
joerogandotnet,,I.D.W.
1791,,I.D.W.
American Justice,,I.D.W.
Atheist Foundation of Australia Inc,,I.D.W.
AynRandInstitute,,I.D.W.
Ben Shapiro Thug Life,,I.D.W.
Benjamin A Boyce,,I.D.W.
Brother Nathanael,,I.D.W.
CISAus,,I.D.W.
Clash of Ideas,,I.D.W.
Conversations with Bill Kristol,,I.D.W.
Crysta,,I.D.W.
Desi-Rae Thinking,,I.D.W.
Douglas Murray Archive,,I.D.W.
Enlightainment,,I.D.W.
Essential Truth,,I.D.W.
Freedom Speaks,,I.D.W.
Glenn Beck,,I.D.W.
Gravitahn,,I.D.W.
Informative,,I.D.W.
Jordan Peterson Fan Channel,,I.D.W.
Liberty us,,I.D.W.
MG,,I.D.W.
Maximilien Robespierre,,I.D.W.
MeaningofLife.tv,,I.D.W.
Mike Nayna,,I.D.W.
Motte & Bailey,,I.D.W.
MrAndsn,,I.D.W.
Notes For Space Cadets,,I.D.W.
Pangburn,,I.D.W.
PhilosophyInsights,,I.D.W.
Pragmatic Entertainment,,I.D.W.
ReasonTV,,I.D.W.
Savage Facts,,I.D.W.
The Daily Truth,,I.D.W.
Steve Trueblue,,Alt-right
The Alternative Hypothesis,,Alt-right
The Great Dolemite,,Alt-right
The James Delingpole Channel,,Alt-right
The Last Stand,,Alt-right
The Rational Rise,,Alt-right
TheArmenianNation,,Alt-right
This is Europa,,Alt-right
ThuleanPerspective,,Alt-right
Traditionalist Youth Network,,Alt-right
Truth Against The World,,Alt-right
WhiteRabbitRadioTV,,Alt-right
andy nowicki,,Alt-right
eliharman,,Alt-right
jackburton2009,,Alt-right
nightmarefuel,,Alt-right
14 Sacred Words,,Alt-right
Awakened Saxon,,Alt-right
Borzoi Boskovic,,Alt-right
Danny 1488,,Alt-right
InvincibleNumanist,,Alt-right
LaughingMan0X,,Alt-right
Laura Towler,,Alt-right
LibertarianRealist2,,Alt-right
Little Revolution,,Alt-right
Marie Cachet,,Alt-right
Morrakiu,,Alt-right
NeatoBurrito Productions,,Alt-right
NewEuropeANP,,Alt-right
OnlineWipe,,Alt-right
Oswald Spengler,,Alt-right
Prince of Zimbabwe,,Alt-right
Serp Kerp,,Alt-right
TRS Radio,,Alt-right
The Leftovers,,Alt-right
The Lion,,Alt-right
The Revolutionary Conservative,,Alt-right
VertigoPolitix,,Alt-right
Revenge Of The Cis,,Alt-lite
RobinHoodUKIP,,Alt-lite
SJW CRINGE MACHINE,,Alt-lite
SJWCentral,,Alt-lite
Semiogogue,,Alt-lite
Social Justice Fails,,Alt-lite
The Fallen State,,Alt-lite
The Hateful Gaels,,Alt-lite
The Iconoclast,,Alt-lite
TheSchillingShow,,Alt-lite
Tipping Point With Liz Wheeler on OAN,,Alt-lite
Tommy Robinson,,Alt-lite
Tree Of Logic,,Alt-lite
UNITE AMERICA FIRST,,Alt-lite
Western Man,,Alt-lite
Zach Hing,,Alt-lite
grapjas60,,Alt-lite
hOrnsticles3,,Alt-lite
ramzpaul,,Alt-lite
theovonk,,Alt-lite
theturningpointusa,,Alt-lite
thkelly67,,Alt-lite
Actual Justice Warrior,,Alt-lite
AllNationsParty,,Alt-lite
Alt Hype Streams,,Alt-lite
Aydin Paladin,,Alt-lite
Beacom Of Light,,Alt-lite
Bearing,,Alt-lite
Count Dankula,,Alt-lite
Dangerfield,,Alt-lite
Demirep,,Alt-lite
Dr. Steve Turley,,Alt-lite
IRmep Stream,,Alt-lite
Jericho Green,,Alt-lite
John Ward,,Alt-lite
JustInformed Talk,,Alt-lite
Liberty Hangout,,Alt-lite
MR. OBVIOUS,,Alt-lite
MarkDice,,Alt-lite
MichelleRempel,,Alt-lite
Mister Metokur,,Alt-lite
NateTalksToYou,,Alt-lite
OneTruth4Life,,Alt-lite
ProductiehuisEU,,Alt-lite
Reverend Simon Sideways,,Alt-lite
Sanity 4 Sweden,,Alt-lite
Sargon of Akkad Live,,Alt-lite
SkidRowRadio,,Alt-lite
Slightly Offens*ve,,Alt-lite
Tea Clips,,Alt-lite
The Amazing Lucas,,Alt-lite
The Weekly Sweat,,Alt-lite
TheBechtloff,,Alt-lite
TheIncredibleSaltMine,,Alt-lite
Toad McKinley,,Alt-lite
TokenLibertarianGirl,,Alt-lite
Undoomed,,Alt-lite
Vincent James of The Red Elephants,,Alt-lite
ataxin,,Alt-lite
brianoflondon,,Alt-lite
jaydyer,,Alt-lite
libertydollshouse,,Alt-lite
patcondell,,Alt-lite
The Free Speech Club,,I.D.W.
The Heritage Foundation,,I.D.W.
The New Criterion,,I.D.W.
The Pondering Primate,,I.D.W.
The Unplugged Observer,,I.D.W.
TheArchangel911,,I.D.W.
TheAtlasSociety,,I.D.W.
Transliminal,,I.D.W.
Trigger Happy Media,,I.D.W.
VikNand,,I.D.W.
Washington Watch,,I.D.W.
WisdomTalks,,I.D.W.
YAFTV,,I.D.W.
ZIEeICoZ,,I.D.W.
ZeroFox Given,,I.D.W.
battleofideas,,I.D.W.
bloggingheads.tv,,I.D.W.
bmdavll,,I.D.W.
successcouncil,,I.D.W.
tmcleanful,,I.D.W.
wikileaksplus,,I.D.W.
xUnlimitedMagz,,I.D.W.
ybrook,,I.D.W.
AgatanFoundation,,I.D.W.
Bite-sized Philosophy,,I.D.W.
CoolHardLogic,,I.D.W.
Davie Addison,,I.D.W.
Dose of Truth,,I.D.W.
DronetekPolitics,,I.D.W.
Galactic Bubble Productions,,I.D.W.
HowTheWorldWorks,,I.D.W.
ManOfAllCreation,,I.D.W.
PragerUniversity,,I.D.W.
Rekt Idiots,,I.D.W.
Sinatra_Says,,I.D.W.
Sorting Myself Out,,I.D.W.
The Andrew Klavan Show,,I.D.W.
The Daily Wire,,I.D.W.
The Heartland Institute,,I.D.W.
The Propertarian Institute,,I.D.W.
Timcast,,I.D.W.
cosmopolitan,,Left
democracy now,,Left
elite daily,,Left
good magazine,,Left
gq magazine,,Left
huffington post (huffpost),,Left
mashable,,Left
merry jane,,Left
new york magazine,,Left
new yorker,,Left
people magazine,,Left
slate,,Left
uproxx,,Left
upworthy,,Left
vanity fair,,Left
vox,,Left
big think ,,Center
c-span,,Center
consumer reports,,Center
financial times,,Center
harvard business review,,Center
investopedia,,Center
makeuseof,,Center
mental floss,,Center
military.com,,Center
recode,,Center
relevant magazine,,Center
the economist,,Center
the indian express,,Center
today i found out,,Center
vocativ,,Center
world economic forum,,Center
(the)atlantic,,Left-center
business insider,,Left-center
cbc news,,Left-center
engadget,,Left-center
feminist frequency,,Left-center
glamour magazine,,Left-center
global citizen,,Left-center
global news,,Left-center
hollywood reporter,,Left-center
la times,,Left-center
lifehacker,,Left-center
new york daily news,,Left-center
rolling stone,,Left-center
san francisco globe,,Left-center
scoopwhoop,,Left-center
scoll.in,,Left-center
sky news,,Left-center
techcrunch,,Left-center
the guardian,,Left-center
the verge,,Left-center
vice news,,Left-center
washington post,,Left-center
wired magazine,,Left-center
yahoo news,,Left-center
forbes,,Right-center
gulf news,,Right-center
learn liberty,,Right-center
new york post,,Right-center
ntd.tv (new tang dynasty),,Right-center
russia insider,,Right-center
american enterprise institute,,Right
judicial watch,,Right
national rifle association (nra),,Right
pj media,,Right
project veritas,,Right
ron paul liberty report,,Right
